SEQUENTIAL
# Username;SIP Proxy;Auth
7000;172.16.2.99;[authentication username=7000 password=123456]
7001;172.16.2.99;[authentication username=7001 password=123456]
7002;172.16.2.99;[authentication username=7002 password=123456]
7003;172.16.2.99;[authentication username=7003 password=123456]
7004;172.16.2.99;[authentication username=7004 password=123456]
7005;172.16.2.99;[authentication username=7005 password=123456]
7006;172.16.2.99;[authentication username=7006 password=123456]
7007;172.16.2.99;[authentication username=7007 password=123456]
7008;172.16.2.99;[authentication username=7008 password=123456]
7009;172.16.2.99;[authentication username=7009 password=123456]
7010;172.16.2.99;[authentication username=7010 password=123456]
7011;172.16.2.99;[authentication username=7011 password=123456]
7012;172.16.2.99;[authentication username=7012 password=123456]
7013;172.16.2.99;[authentication username=7013 password=123456]
7014;172.16.2.99;[authentication username=7014 password=123456]
7015;172.16.2.99;[authentication username=7015 password=123456]
7016;172.16.2.99;[authentication username=7016 password=123456]
7017;172.16.2.99;[authentication username=7017 password=123456]
7018;172.16.2.99;[authentication username=7018 password=123456]
7019;172.16.2.99;[authentication username=7019 password=123456]
7020;172.16.2.99;[authentication username=7020 password=123456]
7021;172.16.2.99;[authentication username=7021 password=123456]
7022;172.16.2.99;[authentication username=7022 password=123456]
7023;172.16.2.99;[authentication username=7023 password=123456]
7024;172.16.2.99;[authentication username=7024 password=123456]
7025;172.16.2.99;[authentication username=7025 password=123456]
7026;172.16.2.99;[authentication username=7026 password=123456]
7027;172.16.2.99;[authentication username=7027 password=123456]
7028;172.16.2.99;[authentication username=7028 password=123456]
7029;172.16.2.99;[authentication username=7029 password=123456]
7030;172.16.2.99;[authentication username=7030 password=123456]
7031;172.16.2.99;[authentication username=7031 password=123456]
7032;172.16.2.99;[authentication username=7032 password=123456]
7033;172.16.2.99;[authentication username=7033 password=123456]
7034;172.16.2.99;[authentication username=7034 password=123456]
7035;172.16.2.99;[authentication username=7035 password=123456]
7036;172.16.2.99;[authentication username=7036 password=123456]
7037;172.16.2.99;[authentication username=7037 password=123456]
7038;172.16.2.99;[authentication username=7038 password=123456]
7039;172.16.2.99;[authentication username=7039 password=123456]
7040;172.16.2.99;[authentication username=7040 password=123456]
7041;172.16.2.99;[authentication username=7041 password=123456]
7042;172.16.2.99;[authentication username=7042 password=123456]
7043;172.16.2.99;[authentication username=7043 password=123456]
7044;172.16.2.99;[authentication username=7044 password=123456]
7045;172.16.2.99;[authentication username=7045 password=123456]
7046;172.16.2.99;[authentication username=7046 password=123456]
7047;172.16.2.99;[authentication username=7047 password=123456]
7048;172.16.2.99;[authentication username=7048 password=123456]
7049;172.16.2.99;[authentication username=7049 password=123456]
7050;172.16.2.99;[authentication username=7050 password=123456]
7051;172.16.2.99;[authentication username=7051 password=123456]
7052;172.16.2.99;[authentication username=7052 password=123456]
7053;172.16.2.99;[authentication username=7053 password=123456]
7054;172.16.2.99;[authentication username=7054 password=123456]
7055;172.16.2.99;[authentication username=7055 password=123456]
7056;172.16.2.99;[authentication username=7056 password=123456]
7057;172.16.2.99;[authentication username=7057 password=123456]
7058;172.16.2.99;[authentication username=7058 password=123456]
7059;172.16.2.99;[authentication username=7059 password=123456]
7060;172.16.2.99;[authentication username=7060 password=123456]
7061;172.16.2.99;[authentication username=7061 password=123456]
7062;172.16.2.99;[authentication username=7062 password=123456]
7063;172.16.2.99;[authentication username=7063 password=123456]
7064;172.16.2.99;[authentication username=7064 password=123456]
7065;172.16.2.99;[authentication username=7065 password=123456]
7066;172.16.2.99;[authentication username=7066 password=123456]
7067;172.16.2.99;[authentication username=7067 password=123456]
7068;172.16.2.99;[authentication username=7068 password=123456]
7069;172.16.2.99;[authentication username=7069 password=123456]
7070;172.16.2.99;[authentication username=7070 password=123456]
7071;172.16.2.99;[authentication username=7071 password=123456]
7072;172.16.2.99;[authentication username=7072 password=123456]
7073;172.16.2.99;[authentication username=7073 password=123456]
7074;172.16.2.99;[authentication username=7074 password=123456]
7075;172.16.2.99;[authentication username=7075 password=123456]
7076;172.16.2.99;[authentication username=7076 password=123456]
7077;172.16.2.99;[authentication username=7077 password=123456]
7078;172.16.2.99;[authentication username=7078 password=123456]
7079;172.16.2.99;[authentication username=7079 password=123456]
7080;172.16.2.99;[authentication username=7080 password=123456]
7081;172.16.2.99;[authentication username=7081 password=123456]
7082;172.16.2.99;[authentication username=7082 password=123456]
7083;172.16.2.99;[authentication username=7083 password=123456]
7084;172.16.2.99;[authentication username=7084 password=123456]
7085;172.16.2.99;[authentication username=7085 password=123456]
7086;172.16.2.99;[authentication username=7086 password=123456]
7087;172.16.2.99;[authentication username=7087 password=123456]
7088;172.16.2.99;[authentication username=7088 password=123456]
7089;172.16.2.99;[authentication username=7089 password=123456]
7090;172.16.2.99;[authentication username=7090 password=123456]
7091;172.16.2.99;[authentication username=7091 password=123456]
7092;172.16.2.99;[authentication username=7092 password=123456]
7093;172.16.2.99;[authentication username=7093 password=123456]
7094;172.16.2.99;[authentication username=7094 password=123456]
7095;172.16.2.99;[authentication username=7095 password=123456]
7096;172.16.2.99;[authentication username=7096 password=123456]
7097;172.16.2.99;[authentication username=7097 password=123456]
7098;172.16.2.99;[authentication username=7098 password=123456]
7099;172.16.2.99;[authentication username=7099 password=123456]
7100;172.16.2.99;[authentication username=7100 password=123456]
